"","X","Y","Al","Co","Fe","Filler","Mg","Ni","Hard","Lcode","subset"
"25",1325,625,5.2,0.001,38.7,55.9,0.18,0.019,3,"FZ","training"
"54",1300,600,8.1,0.003,3.3,87.383,1.17,0.044,3,"FZ","training"
"78",1275,675,4.8,0.039,41.2,52.837,0.66,0.464,3,"FZ","training"
"102",1275,625,6.4,0.032,28.3,63.511,1.25,0.507,2,"FZ","training"
"125",1275,575,2.6,0.015,34,61.762,1.19,0.433,1,"FZ","training"
"161",1250,700,7.8,0.013,31.4,60.174,0.45,0.163,2,"FZ","training"
"186",1250,650,8,0.012,20.6,70.338,0.93,0.12,3,"FZ","training"
"211",1250,550,3,0.013,22.6,72.021,1.98,0.386,2,"FZ","training"
"235",1225,775,5.8,0.007,24.8,67.106,2.09,0.197,1,"FZ","training"
"260",1225,675,5.5,0.027,40.8,52.909,0.32,0.444,3,"FZ","training"
"287",1225,625,6.8,0.02,41.7,50.567,0.51,0.403,1,"FZ","training"
"308",1225,575,6.8,0.026,28.8,62.169,1.8,0.405,3,"FZ","training"
"323",1225,525,5.5,0.038,27.3,62.44,4.15,0.572,2,"FZ","training"
"346",1200,800,3,0.011,5.7,79.304,11.7,0.285,2,"FZ","training"
"370",1200,750,7.4,0.007,24.8,67.146,0.48,0.167,2,"FZ","training"
"399",1200,700,10.1,0.013,34.2,55.195,0.22,0.272,3,"FZ","training"
"428",1200,650,8.6,0.024,43.6,46.902,0.48,0.394,2,"FZ","training"
"456",1200,600,8.3,0.018,19.1,66.355,5.82,0.407,3,"SA","training"
"474",1200,550,2.8,0.057,15.7,77.906,2.76,0.777,2,"SA","training"
"493",1200,500,6.2,0.013,28.9,63.577,1.14,0.17,2,"FZ","training"
"547",1175,725,7.4,0.01,34.1,57.966,0.3,0.224,3,"FZ","training"
"574",1175,625,6.1,0.028,48,44.832,0.7,0.34,2,"FZ","training"
"602",1175,575,10,0.009,17.7,71.628,0.49,0.173,2,"FZ","training"
"616",1175,475,2.9,0.035,17.1,76.178,3.15,0.637,1,"FZ","training"
"631",1150,750,1.7,0.015,6.7,79.065,12.1,0.42,2,"SM","training"
"657",1150,700,9.7,0.032,30.8,58.926,0.21,0.332,1,"FZ","training"
"685",1150,650,8.8,0.014,29.9,60.871,0.18,0.235,2,"FZ","training"
"716",1150,600,9.1,0.009,12.6,77.659,0.52,0.112,3,"FZ","training"
"737",1150,550,7.2,0.03,38.1,54.102,0.24,0.328,3,"FZ","training"
"768",1150,450,5.6,0.036,38.6,54.702,0.55,0.512,3,"FZ","training"
